LEAGUE_ID,TEAM_ID,MIN_YEAR,NICKNAME,YEARFOUNDED,CITY,STATE,ARENA,ARENACAPACITY
0,1610612737,1949,Hawks,1949,Atlanta,Georgia,State Farm Arena,18729
0,1610612738,1946,Celtics,1946,Boston,Massachusetts,TD Garden,18624
0,1610612740,2002,Pelicans,2002,New Orleans,Luisiana,Smoothie King Center,
0,1610612741,1966,Bulls,1966,Chicago,Illinois,United Center,21711
0,1610612742,1980,Mavericks,1980,Dallas,Texas,American Airlines Center,19200
0,1610612743,1976,Nuggets,1976,Denver,Colorado,Pepsi Center,19099
0,1610612745,1967,Rockets,1967,Houston,Texas,Toyota Center,18104
0,1610612746,1970,Clippers,1970,Los Angeles,California,Staples Center,19060
0,1610612747,1948,Lakers,1948,Los Angeles,California,Staples Center,19060
0,1610612748,1988,Heat,1988,Miami,Florida,AmericanAirlines Arena,19600
0,1610612749,1968,Bucks,1968,Milwaukee,Wisconsin,Fiserv Forum,17500
0,1610612750,1989,Timberwolves,1989,Minnesota,Minnesota,Target Center,19356
0,1610612751,1976,Nets,1976,Brooklyn,New York,Barclays Center,
0,1610612752,1946,Knicks,1946,New York,New York,Madison Square Garden,19763
0,1610612753,1989,Magic,1989,Orlando,Florida,Amway Center,0
0,1610612754,1976,Pacers,1976,Indiana,Indiana,Bankers Life Fieldhouse,18345
0,1610612755,1949,76ers,1949,Philadelphia,Pensilvania,Wells Fargo Center,
0,1610612756,1968,Suns,1968,Phoenix,Arizona,Talking Stick Resort Arena,
0,1610612757,1970,Trail Blazers,1970,Portland,Oregon,Moda Center,19980
0,1610612758,1948,Kings,1948,Sacramento,California,Golden 1 Center,17500
0,1610612759,1976,Spurs,1976,San Antonio,Texas,AT&T Center,18694
0,1610612760,1967,Thunder,1967,Oklahoma City,Oklahoma,Chesapeake Energy Arena,19163
0,1610612761,1995,Raptors,1995,Toronto,New York,Scotiabank Arena,19800
0,1610612762,1974,Jazz,1974,Utah,Utah,Vivint Smart Home Arena,20148
0,1610612763,1995,Grizzlies,1995,Memphis,Tennessee,FedExForum,18119
0,1610612764,1961,Wizards,1961,Washington,WashingtonD.C.,Capital One Arena,20647
0,1610612765,1948,Pistons,1948,Detroit,Michigan,Little Caesars Arena,21000
0,1610612766,1988,Hornets,1988,Charlotte,North Carolina,Spectrum Center,19026
0,1610612739,1970,Cavaliers,1970,Cleveland,Ohio,Quicken Loans Arena,20562
0,1610612744,1946,Warriors,1946,Golden State,California,Chase Center,19596
